ticker,NVDA US Equity,DELL US Equity,INTC US Equity,QCOM US Equity,DBX US Equity,CVX US Equity,TRGP US Equity,LMT US Equity,BSX US Equity,LLY US Equity,AMGN US Equity,BMY US Equity,TIGR US Equity,BRK/B US Equity,JKS US Equity,LULU US Equity
field,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS
date,,,,,,,,,,,,,,,,
2024-08-15,122.86,110.5997,20.8262,173.34,22.8,146.8,143.6219,560.29,77.58,932.88,325.39,49.11,3.81,440.84,20.72,256.55
2024-08-16,124.58,111.6936,21.0074,172.18,22.87,147.27,143.2498,560.13,78.25,923.4068,323.69,49.36,3.8,444.51,20.9892,258.1
2024-08-19,130.0,112.2656,21.6617,174.26,23.61,148.46,145.2911,558.39,78.68,923.0964,330.266,49.3,3.94,448.77,21.2908,259.12
2024-08-20,127.25,111.1015,21.1282,172.11,23.72,146.2962,142.385,557.01,78.48,951.2957,330.85,48.98,3.79,448.36,20.5477,260.6
2024-08-21,128.5,112.095,21.5509,174.22,24.33,146.9332,143.099,553.76,78.81,953.2985,331.454,48.44,3.99,446.6,20.7954,265.63
2024-08-22,123.74,109.3653,20.2323,169.0,23.93,147.3478,143.642,557.03,79.58,955.5015,326.802,47.62,3.91,449.03,19.3523,263.45
2024-08-23,129.37,112.4061,20.6752,173.5,24.33,149.2588,144.9291,555.01,79.17,954.0695,331.102,48.11,4.02,453.38,20.2892,268.55
2024-08-26,126.46,112.0649,20.2625,169.49,24.28,150.1485,146.2765,558.1,79.47,951.8564,329.067,48.24,3.91,454.49,20.2138,271.66
2024-08-27,128.3,112.2555,20.2021,173.93,24.44,148.5813,145.9346,560.41,79.83,955.812,329.218,48.12,3.86,460.63,19.6108,271.18
2024-08-28,125.61,111.9545,19.7391,171.85,24.38,147.6208,145.09,563.98,79.52,950.2642,331.796,49.06,3.69,464.59,18.7708,258.83
2024-08-29,117.59,111.1316,20.2625,169.49,25.08,149.0565,147.101,566.85,80.67,941.512,333.327,49.72,3.89,468.37,19.4923,259.01
2024-08-30,119.37,115.9485,22.1851,175.3,25.14,149.5924,147.7144,568.1,81.79,961.3597,336.167,49.95,3.64,475.92,20.6123,259.47
2024-09-03,108.0,111.1617,20.2323,163.24,24.0,146.2659,150.7109,570.37,81.14,957.8648,332.823,50.52,3.65,476.83,19.4062,258.08
2024-09-04,106.21,109.4456,19.5579,165.33,23.77,143.6472,147.9658,577.972,81.96,947.6306,332.954,49.96,3.61,478.57,18.5985,255.51
2024-09-05,107.21,107.5389,19.5277,164.55,23.64,142.4945,150.6104,571.748,81.37,914.0237,326.63,49.8,3.53,464.92,19.3308,253.7
2024-09-06,102.83,102.3607,19.0143,159.0114,23.1,140.0982,147.5636,569.777,81.6,903.9697,322.804,48.7,3.44,459.42,18.9862,253.84
2024-09-09,106.47,106.2644,19.1955,161.6048,23.14,141.8575,144.728,579.772,82.65,909.5375,328.201,48.5,3.65,459.61,19.3415,248.585
2024-09-10,108.1,107.0171,19.1049,162.5195,23.38,139.7645,144.9793,575.368,83.06,902.5077,331.232,49.28,3.48,458.92,19.9123,247.18
2024-09-11,116.91,109.1847,19.7693,167.4249,24.15,139.4106,145.5223,570.109,82.94,922.1751,332.29,48.59,3.5,453.1,20.8277,255.2
2024-09-12,119.15,112.5466,19.4874,165.8366,24.27,140.7554,147.5334,571.426,83.83,936.3248,332.37,48.24,3.45,450.87,20.6877,260.14
2024-09-13,119.11,114.7042,19.7894,168.6009,24.59,142.171,149.0116,573.075,83.31,924.999,334.777,49.13,3.48,447.61,20.8492,266.76
2024-09-16,116.7898,115.808,21.0476,167.4751,24.88,143.6674,151.4249,576.102,83.51,924.8288,337.607,49.99,3.42,451.78,21.0754,265.3
2024-09-17,115.5997,117.2331,21.6113,169.576,24.63,145.002,152.8628,570.159,82.52,907.4446,335.13,49.49,3.55,456.68,21.6677,268.41
